package	architecture	version	archive	size	sha256	suites	components	repositoryFilename	publishedSha256
libmpc3	amd64	1.3.1-1build1.1	libmpc3_1.3.1-1build1.1_amd64.deb	54636	cebe6098bb3d66fdacac9dc6fe406a651216d9c00f27c3f9c159d15d96cdf864	noble-updates	main	pool/main/m/mpclib3/libmpc3_1.3.1-1build1.1_amd64.deb	cebe6098bb3d66fdacac9dc6fe406a651216d9c00f27c3f9c159d15d96cdf864
libmpfr6	amd64	4.2.1-1build1.1	libmpfr6_4.2.1-1build1.1_amd64.deb	353020	aebc1c8b69a1f98bb43dfc268daecd181116dbf40b13ee4e822eb4bdd52b493a	noble-updates	main	pool/main/m/mpfr4/libmpfr6_4.2.1-1build1.1_amd64.deb	aebc1c8b69a1f98bb43dfc268daecd181116dbf40b13ee4e822eb4bdd52b493a
libnspr4	amd64	2:4.35-1.1build1	libnspr4_2%3a4.35-1.1build1_amd64.deb	117398	e579e72d091f6c7a13f5a756c31065b15aae5b81840d61b069355aa2283c07b4	noble	main	pool/main/n/nspr/libnspr4_4.35-1.1build1_amd64.deb	e579e72d091f6c7a13f5a756c31065b15aae5b81840d61b069355aa2283c07b4
libnss3	amd64	2:3.98-1ubuntu0.2	libnss3_2%3a3.98-1ubuntu0.2_amd64.deb	1445132	4254f11d782dfb970e78113519a59d440112ed43c4b56f709da0aef81da8651a	noble-security,noble-updates	main	pool/main/n/nss/libnss3_3.98-1ubuntu0.2_amd64.deb	4254f11d782dfb970e78113519a59d440112ed43c4b56f709da0aef81da8651a
libpcsclite1	amd64	2.0.3-1build1	libpcsclite1_2.0.3-1build1_amd64.deb	21432	703bacc9204a7ecc24486ac8c96d15d0b9e2c91c385388e132ad4fd8f56f035a	noble	main	pool/main/p/pcsc-lite/libpcsclite1_2.0.3-1build1_amd64.deb	703bacc9204a7ecc24486ac8c96d15d0b9e2c91c385388e132ad4fd8f56f035a
libperl5.38t64	amd64	5.38.2-3.2ubuntu0.3	libperl5.38t64_5.38.2-3.2ubuntu0.3_amd64.deb	4875624	34a46ac768011622bf432873b5c9f53cfe333449602721bc12caadc0e7d1adce	noble-security,noble-updates	main	pool/main/p/perl/libperl5.38t64_5.38.2-3.2ubuntu0.3_amd64.deb	34a46ac768011622bf432873b5c9f53cfe333449602721bc12caadc0e7d1adce
libpkgconf3	amd64	1.8.1-2build1	libpkgconf3_1.8.1-2build1_amd64.deb	30652	fc3a57e8f931ec06cb7c51acc56878f1fec247ff02a7adcab26905c2faeb2792	noble	main	pool/main/p/pkgconf/libpkgconf3_1.8.1-2build1_amd64.deb	fc3a57e8f931ec06cb7c51acc56878f1fec247ff02a7adcab26905c2faeb2792
libpython3-stdlib	amd64	3.12.3-0ubuntu2.1	libpython3-stdlib_3.12.3-0ubuntu2.1_amd64.deb	10080	57ebb378c59d2f9ef479bee0abc933c560878cc10e2c3af8e05d6fdb2ed63da4	noble-security,noble-updates	main	pool/main/p/python3-defaults/libpython3-stdlib_3.12.3-0ubuntu2.1_amd64.deb	57ebb378c59d2f9ef479bee0abc933c560878cc10e2c3af8e05d6fdb2ed63da4
libpython3.12-minimal	amd64	3.12.3-1ubuntu0.15	libpython3.12-minimal_3.12.3-1ubuntu0.15_amd64.deb	838706	5d16abf75f5a517c7e68dfbe888ddb40aa95d3b4445b1c223ec5ea23d2b01051	noble-security,noble-updates	main	pool/main/p/python3.12/libpython3.12-minimal_3.12.3-1ubuntu0.15_amd64.deb	5d16abf75f5a517c7e68dfbe888ddb40aa95d3b4445b1c223ec5ea23d2b01051
libpython3.12-stdlib	amd64	3.12.3-1ubuntu0.15	libpython3.12-stdlib_3.12.3-1ubuntu0.15_amd64.deb	2070602	47c3b48809d392570e827cb3cdeacdf750af39fc36619c83337e28cbffea791c	noble-security,noble-updates	main	pool/main/p/python3.12/libpython3.12-stdlib_3.12.3-1ubuntu0.15_amd64.deb	47c3b48809d392570e827cb3cdeacdf750af39fc36619c83337e28cbffea791c
libquadmath0	amd64	14.2.0-4ubuntu2~24.04.1	libquadmath0_14.2.0-4ubuntu2~24.04.1_amd64.deb	153316	dc8f0ca542e09d662f29370c8393c016440dd4bc5c996c5fcc19f632b63ce3b0	noble-security,noble-updates	main	pool/main/g/gcc-14/libquadmath0_14.2.0-4ubuntu2~24.04.1_amd64.deb	dc8f0ca542e09d662f29370c8393c016440dd4bc5c996c5fcc19f632b63ce3b0
libreadline8t64	amd64	8.2-4build1	libreadline8t64_8.2-4build1_amd64.deb	152856	563977a16df03b611f5239cc1e9a0426e86479fcc616b5c9e200ea32063119e5	noble	main	pool/main/r/readline/libreadline8t64_8.2-4build1_amd64.deb	563977a16df03b611f5239cc1e9a0426e86479fcc616b5c9e200ea32063119e5
libsframe1	amd64	2.42-4ubuntu2.10	libsframe1_2.42-4ubuntu2.10_amd64.deb	15724	72093fb456864db55f1352bfa5e952a94f7abaff64e71dff1fbf001db1984564	noble-updates	main	pool/main/b/binutils/libsframe1_2.42-4ubuntu2.10_amd64.deb	72093fb456864db55f1352bfa5e952a94f7abaff64e71dff1fbf001db1984564
libsqlite3-0	amd64	3.45.1-1ubuntu2.7	libsqlite3-0_3.45.1-1ubuntu2.7_amd64.deb	701442	488511119cad001a00f7e00e597112cf743ccfbd3f7a03c82d66237e1bfd82c8	noble-security,noble-updates	main	pool/main/s/sqlite3/libsqlite3-0_3.45.1-1ubuntu2.7_amd64.deb	488511119cad001a00f7e00e597112cf743ccfbd3f7a03c82d66237e1bfd82c8
libstdc++-13-dev	amd64	13.3.0-6ubuntu2~24.04.1	libstdc++-13-dev_13.3.0-6ubuntu2~24.04.1_amd64.deb	2419834	ee5633e863e19c3381ed97842ce35ed32ede96a3d1ae4e94c051d3036fe21347	noble-security,noble-updates	main	pool/main/g/gcc-13/libstdc++-13-dev_13.3.0-6ubuntu2~24.04.1_amd64.deb	ee5633e863e19c3381ed97842ce35ed32ede96a3d1ae4e94c051d3036fe21347
